condition,name,beta,se,z,p_value
B. Platt only,intercept,-0.24708438440274394,0.07938973271617798,-3.112296463902734,0.001856379730231339
B. Platt only,logit(p_raw),0.8702845838224003,0.031462440456527,27.66106415123486,0.0
C. + clinical scoring,intercept,-0.6251585629360522,0.1494587363617968,-4.182817131697958,2.8791897838775782e-05
C. + clinical scoring,logit(p_raw),0.8091309156744666,0.03733873430409492,21.670014550700227,0.0
C. + clinical scoring,clinical_score,0.030199643203099237,0.010279874919474513,2.937744227401843,0.0033060965525892883
D. + clinical + caffeine scoring,intercept,-0.6076998405487223,0.14962289192390707,-4.061543208627307,4.874939303611825e-05
D. + clinical + caffeine scoring,logit(p_raw),0.8098514667267409,0.037334862828113616,21.691561328488735,0.0
D. + clinical + caffeine scoring,clinical_score,0.03007601837791081,0.010279257430829173,2.9258940716581257,0.003434678653202683
D. + clinical + caffeine scoring,caffeine_score,-0.041139580883860695,0.03134038751630329,-1.3126698214072772,0.1892942309609027
