condition,roc_auc,precision,recall,f1,mcc,tn,fp,fn,tp
A. Raw model,0.8009206125924295,0.23049001814882034,0.4492924528301887,0.3046781287485006,0.25251656516326443,10384,1272,467,381
B. + clinical scoring,0.788093386190285,0.1499265066144047,0.7216981132075472,0.2482758620689655,0.22734830855485916,8186,3470,236,612
C. + clinical + caffeine scoring,0.7857825470079383,0.14591165413533835,0.7323113207547169,0.24333855799373041,0.22310887156440454,8021,3635,227,621
