condition,tau_opt,roc_auc,precision,recall,f1,mcc,tn,fp,fn,tp
A. Raw model,0.15,0.8009206125924295,0.22822299651567945,0.4634433962264151,0.3058365758754864,0.25495308079577383,10327,1329,455,393
B. Platt only,0.15,0.8009206125924295,0.22984356197352587,0.45047169811320753,0.3043824701195219,0.25230148984932327,10376,1280,466,382
C. + clinical scoring,0.15,0.7994327967780784,0.22791519434628976,0.4563679245283019,0.3040062843676355,0.2524035990039246,10345,1311,461,387
D. + clinical + caffeine scoring,0.15,0.7993454864933114,0.2276707530647986,0.45990566037735847,0.30456852791878175,0.2533047973643955,10333,1323,458,390
